task,phase,run,tag,n_trials,mean_reward,trial_rewards,notes
invoice-fraud-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.333,"[0.000,0.000,1.000]",
invoice-fraud-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.333,"[0.000,0.000,1.000]",
invoice-fraud-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
invoice-fraud-detection,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.333,"[1.000,0.000,0.000]",
jax-computing-basics,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
jax-computing-basics,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
jax-computing-basics,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
jax-computing-basics,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
jpg-ocr-stat,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
jpg-ocr-stat,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
jpg-ocr-stat,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
jpg-ocr-stat,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
lake-warming-attribution,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
lake-warming-attribution,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
lake-warming-attribution,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
lake-warming-attribution,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
multilingual-video-dubbing,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.667,"[0.000,1.000,1.000]",
